,Distance,ElapsedTime,ElevationGain,ElevationMax,ElevationMin,HeartRate,MovingTime,Speed,Temp,SpeedDist
2019-04-06 17:23:56-07:00,33936.6,17151,1306.0,,,142.9,16268,2.086,18.0,70791.74759999999
2019-04-05 12:16:40-07:00,22536.7,5856,68.0,,,144.4,5456,4.131,15.0,93099.10770000001
2019-04-05 00:43:26-07:00,5132.4,1439,21.0,,,133.2,1435,3.577,20.0,18358.5948
2019-04-03 22:54:24-07:00,8347.2,2415,26.0,,,151.4,2384,3.501,19.0,29223.5472
2019-04-03 01:49:56-07:00,1757.3,464,5.0,,,145.9,464,3.787,15.0,6654.8951
2019-04-03 01:12:39-07:00,8210.1,2090,38.0,,,145.3,1980,4.147,15.0,34047.284700000004
2019-04-03 00:38:11-07:00,3804.3,1885,17.0,,,144.5,992,3.835,18.0,14589.4905
2019-04-02 02:21:02-07:00,2809.2,946,7.0,,,144.6,906,3.101,21.0,8711.3292
2019-03-31 14:00:06-07:00,42441.2,9765,47.0,,,151.3,9747,4.346,13.0,184449.4552
2019-03-31 13:26:01-07:00,3599.8,987,4.0,,,150.1,987,3.647,12.0,13128.4706
2019-03-30 21:08:50-07:00,5514.8,1455,27.0,,,144.6,1442,3.824,23.0,21088.5952
2019-03-30 01:00:52-07:00,4930.6,1369,20.0,,,150.8,1369,3.602,22.0,17760.0212
2019-03-29 01:18:00-07:00,5458.1,1491,12.0,,,142.3,1449,3.767,19.0,20560.6627
2019-03-28 00:43:07+00:00,7179.0,2044,24.0,,,143.6,2022,3.55,15.0,25485.449999999997
2019-03-25 20:34:03+00:00,5809.1,1800,23.0,,,136.3,1709,3.399,13.0,19745.1309
2019-03-24 14:29:18+00:00,9702.7,2784,59.0,,,148.1,2756,3.521,18.0,34163.2067
2019-03-23 08:27:09+00:00,20634.1,7055,166.0,,,155.1,6928,2.978,12.0,61448.349799999996
2019-03-22 16:32:26+00:00,6461.4,1879,29.0,,,140.0,1827,3.537,14.0,22853.9718
2019-03-22 01:09:57+00:00,13411.3,3845,43.0,,,154.8,3707,3.618,15.0,48522.083399999996
2019-03-20 10:28:38+00:00,10087.6,2867,42.0,,,152.4,2811,3.589,14.0,36204.3964
2019-03-19 19:56:05+00:00,4627.5,1860,6.0,,,151.3,1732,2.672,13.0,12364.68
2019-03-19 19:10:09+00:00,9487.8,2257,30.0,,,145.3,2257,4.204,14.0,39886.7112
2019-03-19 19:05:25+00:00,426.2,105,1.0,,,137.1,105,4.059,19.0,1729.9458
2019-03-18 16:41:11+00:00,8985.0,2454,55.0,,,149.9,2376,3.782,13.0,33981.27
2019-03-17 10:35:04+00:00,6533.7,7629,660.0,,,121.4,4334,1.508,12.0,9852.819599999999
2019-03-16 09:28:19+00:00,20407.6,14793,1699.0,,,128.7,13938,1.464,11.0,29876.726399999996
2019-03-14 22:04:02-07:00,11272.0,2893,29.0,,,145.7,2881,3.913,21.0,44107.335999999996
2019-03-13 23:50:01-07:00,12884.1,3750,51.0,,,131.0,3660,3.52,21.0,45352.032
2019-03-13 18:48:58-07:00,8352.8,3535,145.0,,,126.1,3091,2.702,21.0,22569.2656
2019-03-13 02:17:59-07:00,1768.2,500,5.0,,,146.8,500,3.536,13.0,6252.3552
2019-03-13 01:32:27-07:00,8568.8,2381,20.0,,,141.5,2374,3.609,13.0,30924.799199999998
2019-03-13 00:52:00-07:00,4644.4,2182,20.0,,,132.4,1454,3.194,18.0,14834.2136
2019-03-12 00:26:38-07:00,7706.3,2712,70.0,,,142.1,2520,3.058,21.0,23565.8654
2019-03-10 19:21:15-07:00,12554.4,3792,46.0,,,147.2,3603,3.484,18.0,43739.5296
2019-03-10 18:19:09-07:00,16396.3,3630,57.0,,,149.2,3630,4.517,16.0,74062.0871
2019-03-10 17:39:07-07:00,7072.2,2183,20.0,,,147.6,1897,3.728,17.0,26365.1616
2019-03-09 22:24:58-08:00,7818.6,2168,30.0,,,154.2,2162,3.616,15.0,28272.057600000004
2019-03-09 01:18:07-08:00,12871.8,3706,52.0,,,137.4,3579,3.596,12.0,46286.9928
2019-03-07 23:47:50-08:00,17855.6,5477,357.0,,,149.0,5434,3.286,11.0,58673.501599999996
2019-03-06 23:47:19-08:00,18247.9,5667,125.0,,,140.9,5021,3.634,15.0,66312.8686
2019-03-06 03:22:10-08:00,3556.0,1621,28.0,,,154.8,1170,3.039,13.0,10806.684000000001
2019-03-06 02:40:24-08:00,8171.6,2094,32.0,,,149.9,2082,3.925,13.0,32073.53
2019-03-06 01:56:08-08:00,5834.4,2496,17.0,,,137.8,1761,3.313,17.0,19329.3672
2019-03-04 18:52:49-08:00,9057.1,2685,37.0,,,145.0,2676,3.385,17.0,30658.283499999998
2019-03-02 16:00:16-08:00,48159.0,15314,1091.0,,,158.0,15153,3.145,12.0,151460.055
2019-03-02 15:29:24-08:00,1769.2,692,16.6,,,,602,2.939,,5199.678800000001
2019-03-02 02:09:49-08:00,3965.9,1241,39.6,,,,1237,3.206,,12714.6754
2019-03-01 01:34:25-08:00,9183.3,3432,175.0,,,139.8,2609,3.52,13.0,32325.215999999997
2019-02-28 00:35:34-08:00,9679.8,2846,232.0,,,144.5,2819,3.434,15.0,33240.4332
2019-02-24 17:13:17-03:00,9673.7,2781,74.0,,,150.5,2725,3.55,33.0,34341.635
2019-02-23 15:42:34-05:00,14788.8,4950,232.0,,,150.2,4738,3.121,11.0,46155.8448
2019-02-22 15:06:09-08:00,6912.8,1828,29.0,,,150.1,1816,3.807,12.0,26317.0296
2019-02-20 03:16:14-08:00,3609.0,1353,13.0,,,147.0,1081,3.339,10.0,12050.451
2019-02-20 02:43:11-08:00,7239.4,1821,46.0,,,157.2,1684,4.299,10.0,31122.1806
2019-02-20 02:13:45-08:00,4033.6,1412,16.0,,,140.9,1242,3.248,16.0,13101.132800000001
2019-02-18 23:23:55-08:00,14697.6,4385,143.0,,,154.0,4227,3.477,12.0,51103.5552
2019-02-17 16:10:30-08:00,3232.6,987,17.7,,,,987,3.275,,10586.765
2019-02-17 14:42:02-08:00,22612.5,5036,89.1,,,,5029,4.496,,101665.8
2019-02-17 14:05:44-08:00,6756.7,2025,23.9,,,,1808,3.737,,25249.7879
2019-02-16 22:38:59-08:00,10316.8,3000,50.0,,,147.5,2993,3.447,16.0,35562.0096
2019-02-15 19:40:20-08:00,19362.2,5232,91.0,,,149.4,5179,3.739,13.0,72395.2658
2019-02-15 06:12:06-08:00,8594.5,2560,27.0,,,154.3,2540,3.384,14.0,29083.788
2019-02-14 23:35:58-08:00,8291.2,2421,30.0,,,152.5,2406,3.446,16.0,28571.475200000004
2019-02-13 20:23:21-08:00,23928.1,8239,664.0,,,156.2,8181,2.925,14.0,69989.69249999999
2019-02-13 01:34:22-08:00,3071.4,1351,28.0,,,156.4,970,3.166,15.0,9724.0524
2019-02-13 01:11:43-08:00,6527.9,1306,31.0,,,151.8,1306,4.998,13.0,32626.444199999998
2019-02-13 00:36:21-08:00,5119.2,1970,16.0,,,141.3,1407,3.638,17.0,18623.6496
2019-02-12 11:17:35-08:00,11437.8,3579,62.0,,,148.8,3362,3.402,9.0,38911.395599999996
2019-02-11 18:43:38-08:00,9725.4,2974,402.0,,,141.4,2967,3.278,18.0,31879.8612
2019-02-06 18:36:46-08:00,24151.9,6197,136.0,,,149.5,6069,3.98,14.0,96124.562
2019-02-06 03:14:09-08:00,1665.3,486,4.0,,,166.4,486,3.427,9.0,5706.9830999999995
2019-02-06 02:37:37-08:00,7312.4,1908,25.0,,,158.8,1750,4.179,9.0,30558.5196
2019-02-06 02:07:03-08:00,4232.4,1511,12.0,,,137.6,1242,3.408,15.0,14424.019199999999
2019-02-05 04:42:13-08:00,2751.3,850,12.0,,,131.9,847,3.248,21.0,8936.2224
2019-02-04 18:49:18-08:00,13581.5,4442,329.0,,,146.3,4253,3.193,11.0,43365.7295
2019-02-03 23:49:55-08:00,8369.1,2370,37.0,,,152.9,2367,3.536,18.0,29593.137600000002
2019-02-03 17:22:29-08:00,12901.1,4357,24.0,,,151.0,3526,3.659,16.0,47205.124899999995
2019-02-03 16:05:02-08:00,7993.1,1611,30.0,,,144.2,1611,4.962,15.0,39661.7622
2019-02-03 15:27:05-08:00,4207.4,1761,12.0,,,130.8,1197,3.515,19.0,14789.010999999999
2019-02-02 23:54:13-08:00,8382.1,2556,63.0,,,147.3,2556,3.279,16.0,27484.9059
2019-02-01 18:17:50-08:00,12083.4,4123,345.0,,,154.0,4098,2.949,16.0,35633.946599999996
2019-02-01 02:01:01-08:00,8873.2,2596,36.0,,,137.8,2563,3.462,16.0,30719.018400000004
2019-01-31 15:16:35-08:00,6469.3,2061,19.0,,,140.1,2012,3.215,15.0,20798.7995
2019-01-31 00:15:18-08:00,24166.4,6241,129.0,,,149.2,6212,3.89,17.0,94007.296
2019-01-30 03:26:24-08:00,3713.3,2109,25.0,,,146.7,1227,3.026,14.0,11236.4458
2019-01-30 02:38:20-08:00,8615.6,2402,31.0,,,151.6,2399,3.591,14.0,30938.6196
2019-01-30 01:50:44-08:00,6448.0,2423,15.0,,,139.3,1860,3.467,18.0,22355.216
2019-01-29 07:35:00-08:00,8603.3,2451,34.0,,,148.1,2430,3.54,15.0,30455.681999999997
2019-01-28 14:58:09-08:00,8359.0,2374,26.0,,,149.6,2340,3.572,14.0,29858.348
2019-01-27 21:43:31-08:00,19687.4,5087,76.0,,,145.9,5009,3.93,22.0,77371.482
2019-01-27 01:23:37-08:00,11636.1,3610,150.0,,,139.6,3565,3.264,17.0,37980.2304
2019-01-25 17:28:15-08:00,31458.8,14569,760.0,,,154.5,12238,2.571,13.0,80880.5748
2019-01-25 00:00:28-08:00,24161.3,6589,133.0,,,146.0,6348,3.806,19.0,91957.9078
2019-01-24 05:25:41-08:00,11435.7,3175,50.0,,,148.4,3150,3.63,12.0,41511.591
2019-01-23 03:55:41-08:00,1799.7,530,4.0,,,151.7,530,3.396,8.0,6111.7812
2019-01-23 03:18:21-08:00,8230.6,1937,32.0,,,154.2,1924,4.278,9.0,35210.506799999996
2019-01-23 02:50:20-08:00,4375.1,1517,16.0,,,143.2,1317,3.322,20.0,14534.0822
2019-01-22 03:02:50-08:00,9686.0,3018,45.0,,,143.6,2967,3.265,12.0,31624.79
2019-01-21 18:11:22-08:00,6465.4,1918,23.0,,,141.8,1910,3.385,19.0,21885.378999999997
2019-01-20 15:58:08-08:00,5630.9,1903,26.0,,,141.8,1703,3.306,18.0,18615.7554
2019-01-20 14:46:01-08:00,19324.6,4291,85.0,,,153.7,4291,4.504,14.0,87037.99839999998
2019-01-20 14:06:34-08:00,7357.3,2270,29.0,,,135.0,2046,3.596,17.0,26456.8508
2019-01-19 16:06:32-08:00,10446.6,3119,41.0,,,148.4,3119,3.349,15.0,34985.663400000005
2019-01-19 02:01:27-08:00,5293.8,1596,18.0,,,134.3,1578,3.355,18.0,17760.699
