underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^VIX,2018-05-29,VIX,2018-05-30,10.000,c,4.50,7.40,4.50,7.40,119,451,6.50,382,7.90,17.57,17.57,2,6.10,23,7.80,17.02,17.02,5.52,195,0
^VIX,2018-05-29,VIX,2018-05-30,10.000,p,0.00,0.00,0.00,0.00,0,0,0.00,227,0.05,17.57,17.57,0,0.00,227,0.05,17.02,17.02,0.00,9,0
^VIX,2018-05-29,VIX,2018-05-30,10.500,c,4.80,4.80,4.80,4.80,1,350,6.00,341,7.40,17.57,17.57,11,5.30,10,7.40,17.02,17.02,4.80,57,0
^VIX,2018-05-29,VIX,2018-05-30,10.500,p,0.00,0.00,0.00,0.00,0,0,0.00,60,0.05,17.57,17.57,0,0.00,60,0.05,17.02,17.02,0.00,22,0
^VIX,2018-05-29,VIX,2018-05-30,11.000,c,3.87,4.30,3.80,4.30,8,350,5.50,341,6.90,17.57,17.57,10,4.80,11,6.90,17.02,17.02,3.91,46,0
^VIX,2018-05-29,VIX,2018-05-30,11.000,p,0.02,0.02,0.02,0.02,10,0,0.00,55,0.05,17.57,17.57,0,0.00,51,0.05,17.02,17.02,0.02,73,0
^VIX,2018-05-29,VIX,2018-05-30,11.500,c,3.90,3.90,3.90,3.90,2,350,5.00,341,6.40,17.57,17.57,2,4.60,10,6.40,17.02,17.02,3.90,67,0
^VIX,2018-05-29,VIX,2018-05-30,11.500,p,0.00,0.00,0.00,0.00,0,0,0.00,55,0.05,17.57,17.57,0,0.00,72,0.05,17.02,17.02,0.00,1025,0
^VIX,2018-05-29,VIX,2018-05-30,12.000,c,3.00,5.60,2.70,5.60,216,452,4.50,378,5.90,17.57,17.57,1,4.30,22,5.80,17.02,17.02,3.86,253,0
^VIX,2018-05-29,VIX,2018-05-30,12.000,p,0.01,0.01,0.01,0.01,8,0,0.00,151,0.05,17.57,17.57,0,0.00,151,0.05,17.02,17.02,0.01,320,0
^VIX,2018-05-29,VIX,2018-05-30,12.500,c,2.40,3.10,2.40,3.10,7,350,4.00,346,5.40,17.57,17.57,1,3.90,11,5.30,17.02,17.02,2.62,72,0
^VIX,2018-05-29,VIX,2018-05-30,12.500,p,0.00,0.00,0.00,0.00,0,0,0.00,14,0.05,17.57,17.57,0,0.00,44,0.05,17.02,17.02,0.00,1373,0
^VIX,2018-05-29,VIX,2018-05-30,13.000,c,2.05,5.21,1.20,4.90,194,463,3.40,388,5.00,17.57,17.57,1,3.20,21,4.80,17.02,17.02,3.11,211,0
^VIX,2018-05-29,VIX,2018-05-30,13.000,p,0.05,0.05,0.03,0.04,160,0,0.00,79,0.05,17.57,17.57,0,0.00,102,0.05,17.02,17.02,0.04,1623,0
^VIX,2018-05-29,VIX,2018-05-30,13.500,c,1.73,3.81,1.20,3.81,85,467,2.95,388,4.50,17.57,17.57,1,3.30,22,4.40,17.02,17.02,1.94,114,0
^VIX,2018-05-29,VIX,2018-05-30,13.500,p,0.05,0.11,0.01,0.07,215,0,0.00,22,0.05,17.57,17.57,0,0.00,52,0.05,17.02,17.02,0.05,838,0
^VIX,2018-05-29,VIX,2018-05-30,14.000,c,1.20,4.01,0.85,3.92,425,380,2.55,378,3.90,17.57,17.57,1,2.25,24,3.90,17.02,17.02,1.70,396,0
^VIX,2018-05-29,VIX,2018-05-30,14.000,p,0.20,0.25,0.05,0.05,369,0,0.00,2,0.05,17.57,17.57,0,0.00,24,0.05,17.02,17.02,0.13,260,0
^VIX,2018-05-29,VIX,2018-05-30,14.500,c,0.70,3.05,0.50,3.05,142,449,2.05,384,3.40,17.57,17.57,2,1.70,21,3.30,17.02,17.02,1.25,252,0
^VIX,2018-05-29,VIX,2018-05-30,14.500,p,0.25,0.50,0.05,0.12,227,0,0.00,13,0.35,17.57,17.57,0,0.00,20,0.05,17.02,17.02,0.26,128,0
^VIX,2018-05-29,VIX,2018-05-30,15.000,c,0.93,3.00,0.35,2.59,905,50,2.05,386,2.95,17.57,17.57,1,1.30,22,2.90,17.02,17.02,1.22,988,0
^VIX,2018-05-29,VIX,2018-05-30,15.000,p,0.76,0.76,0.05,0.08,899,0,0.00,182,0.10,17.57,17.57,0,0.00,141,0.10,17.02,17.02,0.27,291,0
^VIX,2018-05-29,VIX,2018-05-30,16.000,c,0.45,2.16,0.10,1.40,1560,31,1.30,474,2.05,17.57,17.57,3,0.50,8,1.85,17.02,17.02,0.93,739,0
^VIX,2018-05-29,VIX,2018-05-30,16.000,p,1.30,1.90,0.10,0.25,1153,50,0.15,25,0.20,17.57,17.57,10,0.10,25,0.40,17.02,17.02,0.49,107,0
^VIX,2018-05-29,VIX,2018-05-30,17.000,c,0.15,1.50,0.10,0.85,4758,30,0.85,1,1.10,17.57,17.57,3,0.85,1104,1.05,17.02,17.02,0.62,6897,0
^VIX,2018-05-29,VIX,2018-05-30,17.000,p,2.18,2.38,0.30,0.65,893,36,0.35,122,1.00,17.57,17.57,16,0.35,10,0.85,17.02,17.02,0.69,57,0
^VIX,2018-05-29,VIX,2018-05-30,18.000,c,0.10,1.00,0.05,0.49,2095,84,0.30,1567,0.75,17.57,17.57,36,0.20,13,0.65,17.02,17.02,0.42,5780,0
^VIX,2018-05-29,VIX,2018-05-30,18.000,p,3.26,3.26,0.40,0.40,177,159,0.75,12,2.10,17.57,17.57,70,1.10,10,1.50,17.02,17.02,1.76,44,0
^VIX,2018-05-29,VIX,2018-05-30,19.000,c,0.10,0.70,0.05,0.23,2724,959,0.15,115,0.40,17.57,17.57,1391,0.10,98,0.30,17.02,17.02,0.44,417,0
^VIX,2018-05-29,VIX,2018-05-30,19.000,p,4.23,4.23,1.70,1.90,16,25,1.30,29,3.00,17.57,17.57,8,1.45,51,3.30,17.02,17.02,2.71,9,0
^VIX,2018-05-29,VIX,2018-05-30,20.000,c,0.10,0.50,0.05,0.13,3757,976,0.10,5,0.20,17.57,17.57,315,0.10,1,0.20,17.02,17.02,0.28,8940,0
^VIX,2018-05-29,VIX,2018-05-30,20.000,p,4.48,4.48,2.21,2.26,14,23,2.20,26,4.10,17.57,17.57,9,2.35,27,4.10,17.02,17.02,3.84,22,0
^VIX,2018-05-29,VIX,2018-05-30,21.000,c,0.05,0.30,0.05,0.07,6077,0,0.00,1624,0.35,17.57,17.57,728,0.05,12,0.10,17.02,17.02,0.16,10102,0
^VIX,2018-05-29,VIX,2018-05-30,21.000,p,0.00,0.00,0.00,0.00,0,28,3.10,27,5.00,17.57,17.57,13,3.20,12,5.20,17.02,17.02,0.00,60,0
^VIX,2018-05-29,VIX,2018-05-30,22.000,c,0.15,0.30,0.10,0.10,396,717,0.05,100,0.10,17.57,17.57,0,0.00,154,0.10,17.02,17.02,0.17,850,0
^VIX,2018-05-29,VIX,2018-05-30,22.000,p,0.00,0.00,0.00,0.00,0,15,4.10,16,6.00,17.57,17.57,13,4.20,12,6.20,17.02,17.02,0.00,0,0
^VIX,2018-05-29,VIX,2018-05-30,23.000,c,0.05,0.05,0.05,0.05,200,205,0.05,1669,0.25,17.57,17.57,0,0.00,4,0.05,17.02,17.02,0.05,393,0
^VIX,2018-05-29,VIX,2018-05-30,23.000,p,0.00,0.00,0.00,0.00,0,16,5.00,16,7.00,17.57,17.57,13,5.20,12,7.20,17.02,17.02,0.00,0,0
^VIX,2018-05-29,VIX,2018-05-30,24.000,c,0.05,0.10,0.05,0.05,332,0,0.00,1316,0.20,17.57,17.57,0,0.00,14,0.05,17.02,17.02,0.07,79,0
^VIX,2018-05-29,VIX,2018-05-30,24.000,p,0.00,0.00,0.00,0.00,0,15,6.00,16,8.00,17.57,17.57,11,6.20,10,8.20,17.02,17.02,0.00,9,0
^VIX,2018-05-29,VIX,2018-05-30,25.000,c,0.04,0.05,0.04,0.05,146,0,0.00,10,0.05,17.57,17.57,0,0.00,16,0.05,17.02,17.02,0.05,5230,0
^VIX,2018-05-29,VIX,2018-05-30,25.000,p,0.00,0.00,0.00,0.00,0,10,7.00,9,9.10,17.57,17.57,10,7.20,9,9.20,17.02,17.02,0.00,8,0
^VIX,2018-05-29,VIX,2018-05-30,30.000,c,0.03,0.03,0.03,0.03,6,0,0.00,40,0.05,17.57,17.57,0,0.00,50,0.05,17.02,17.02,0.03,6127,0
^VIX,2018-05-29,VIX,2018-05-30,30.000,p,0.00,0.00,0.00,0.00,0,10,12.00,9,14.10,17.57,17.57,10,12.10,9,14.10,17.02,17.02,0.00,16,0
